Season,Team,Games Played,Goals,Assists,Points,PIMs,PPG,PPA,SHG,SHA,GWG,GWA
Current,Gang Green 2,6.0,2.0,3.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0
Winter 2023,Gang Green 2,9.0,10.0,5.0,15.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0
Fall 2022,Gang Green 2,10.0,16.0,5.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
Summer 2022,Gang Green 2,6.0,12.0,5.0,17.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
Winter 2022,Gang Green 2,7.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,,38.0,44.0,18.0,62.0,12.0,3.0,1.0,1.0,0.0,2.0,4.0
