Season,Team,Games Played,Goals,Assists,Points,PIMs,PPG,PPA,SHG,SHA,GWG,GWA
Current,Gang Green 2,7.0,7.0,2.0,9.0,16.0,1.0,1.0,0.0,0.0,1.0,0.0
Winter 2023,Gang Green 2,9.0,7.0,8.0,15.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
Fall 2022,Gang Green 2,10.0,8.0,10.0,18.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0
Summer 2022,Gang Green 2,7.0,7.0,8.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Winter 2022,Gang Green 2,7.0,3.0,2.0,5.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0
Fall 2021,Gang Green 2,7.0,4.0,6.0,10.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
Summer 2021,Gang Green 2,2.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
,,49.0,38.0,38.0,76.0,30.0,3.0,5.0,1.0,0.0,8.0,5.0
