Season,Team,GP,G,A,P,PIMs,PPG,PPA,SHG,SHA,GWG,GWA
Current,Gang Green 2,7.0,1.0,2.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter 2023,Gang Green 2,7.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2022,Gang Green 2,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Summer 2022,Gang Green 2,5.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter 2022,Gang Green 2,8.0,5.0,1.0,6.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0
Fall 2021,Gang Green 2,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Summer 2021,Gang Green 2,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
,,37.0,7.0,7.0,14.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0
