Season,Team,Games Played,Goals,Assists,Points,PIMs,PPG,PPA,SHG,SHA,GWG,GWA
Current,Gang Green 2,5.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter 2023,Gang Green 2,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2022,Gang Green 2,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2019,Gang Green 3,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
,,25.0,3.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
