Season,Team,GP,G,A,P,PIMs,PPG,PPA,SHG,SHA,GWG,GWA
Current,Gang Green 3,7.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Current,Gang green 4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter 2023,Gang Green 3,7.0,1.0,1.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0
Fall 2022,Gang Green 3,12.0,6.0,6.0,12.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0
Summer 2022,Gang Green 3,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Winter 2022,Gang Green 3,7.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
,,43.0,14.0,9.0,23.0,16.0,0.0,0.0,1.0,0.0,2.0,4.0
