Season,Team,Games Played,Goals,Assists,Points,PIMs,PPG,PPA,SHG,SHA,GWG,GWA
Current,Gang Green 1,7.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Current,Gang Green 2,7.0,2.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
Winter 2023,Gang Green 1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,18.0,2.0,3.0,5.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0
