Season,Team,Games Played,Goals,Assists,Points,PIMs,PPG,PPA,SHG,SHA,GWG,GWA
Current,Gang Green 3,7.0,3.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0
Current,Gang green 4,6.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter 2023,Gang Green 3,11.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Fall 2022,Gang Green 3,12.0,1.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Summer 2022,Gang Green 3,8.0,3.0,4.0,7.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0
Winter 2022,Gang Green 3,11.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Fall 2021,Gang Green 3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,62.0,12.0,18.0,30.0,16.0,1.0,0.0,0.0,0.0,2.0,3.0
