Season,Team,GP,G,A,P,PIMs,PPG,PPA,SHG,SHA,GWG,GWA
Current,Gang Green 3,6.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Current,Gang green 4,7.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Winter 2023,Gang Green 3,7.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2022,Gang Green 3,10.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Summer 2022,Gang Green 3,8.0,4.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
Winter 2022,Gang Green 3,10.0,7.0,3.0,10.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0
Fall 2021,Gang Green 3,9.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2019,Gang Green 3,17.0,0.0,6.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0
,,74.0,20.0,20.0,40.0,12.0,2.0,3.0,0.0,0.0,4.0,3.0
