Season,Team,GP,G,A,P,PIMs,PPG,PPA,SHG,SHA,GWG,GWA
Current,Gang Green 2,6.0,5.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter 2023,Gang Green 2,9.0,4.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2022,Gang Green 2,11.0,4.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Summer 2022,Gang Green 2,5.0,5.0,3.0,8.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0
Winter 2022,Gang Green 2,8.0,2.0,7.0,9.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0
Fall 2021,Gang Green 2,5.0,6.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0
Summer 2021,Gang Green 2,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,,47.0,27.0,21.0,48.0,22.0,0.0,1.0,0.0,0.0,5.0,2.0
